h3,Accomodation_access,Primary Schools_access,Public Transports Stops_access,Municipal Sports Centers_access
8a1e8052d2e7fff,17247.14285714286,139.71428571428572,3939.8571428571427,103.0
8a1e8052d2effff,17020.0,133.2,3813.8,96.0
8a1e8052d2f7fff,16995.8,132.8,3792.0,96.2
8a1e8052d307fff,14183.25,93.0,2905.5,73.75
8a1e8052d30ffff,15435.0,105.0,3161.0,78.0
8a1e8052d317fff,13636.75,86.5,2754.25,68.0
8a1e8052d31ffff,14731.0,98.0,2971.5,75.66666666666667
8a1e8052d327fff,14340.2,93.2,2877.0,72.0
8a1e8052d32ffff,15125.833333333334,103.33333333333333,3120.8333333333335,78.16666666666667
8a1e8052d337fff,14149.0,92.0,2861.5,73.0
8a1e8052d347fff,15001.0,100.5,3080.5,76.0
8a1e8052d357fff,15781.0,117.5,3312.0,83.5
8a1e8052d35ffff,15952.666666666666,121.66666666666667,3402.3333333333335,86.66666666666667
8a1e8052d367fff,14878.666666666666,101.66666666666667,3058.3333333333335,78.33333333333333
8a1e8052d36ffff,15580.5,113.75,3318.5,82.75
8a1e8052d377fff,15576.0,113.5,3306.0,82.5
8a1e8052d387fff,14900.333333333334,100.66666666666667,3002.6666666666665,76.33333333333333
8a1e8052d38ffff,14719.0,96.66666666666667,2894.6666666666665,74.33333333333333
8a1e8052d397fff,15381.0,106.75,3117.0,78.25
8a1e8052d39ffff,15539.0,107.66666666666667,3178.0,78.66666666666667
8a1e8052d3a7fff,13841.5,88.5,2762.0,69.0
8a1e8052d3affff,13688.0,84.0,2715.0,67.0
8a1e8052d3b7fff,14732.75,99.5,2968.25,76.0
8a1e8052d407fff,14001.6,113.6,3095.4,83.4
8a1e8052d40ffff,17211.125,132.0,3573.875,93.25
8a1e8052d417fff,16397.666666666668,124.0,3546.0,93.0
8a1e8052d41ffff,17591.0,143.0,3870.0,103.0
8a1e8052d427fff,14516.6,104.2,3022.2,75.8
8a1e8052d42ffff,17364.0,136.0,3780.0,96.5
8a1e8052d437fff,13223.0,109.0,2973.0,79.25
8a1e8052d44ffff,16773.0,119.0,3312.5,83.5
8a1e8052d457fff,17238.333333333332,132.83333333333334,3625.5,92.16666666666667
8a1e8052d45ffff,17278.0,134.0,3662.0,95.0
8a1e8052d467fff,17160.5,130.5,3517.0,93.0
8a1e8052d477fff,17221.0,132.0,3588.0,93.0
8a1e8052d487fff,17699.0,151.0,4090.75,112.5
8a1e8052d48ffff,17026.0,128.0,3467.0,87.0
8a1e8052d497fff,17246.5,132.0,3622.0,94.0
8a1e8052d4a7fff,17713.0,151.85714285714286,4129.928571428572,114.35714285714286
8a1e8052d4affff,17699.0,151.0,4099.0,113.0
8a1e8052d4c7fff,17598.666666666668,144.33333333333334,3895.6666666666665,103.33333333333333
8a1e8052d4cffff,17518.0,139.0,3808.0,101.0
8a1e8052d4d7fff,17623.0,145.5,3941.0,106.0
8a1e8052d4dffff,17528.0,140.0,3819.0,100.0
8a1e8052d4e7fff,17276.0,134.0,3650.0,93.0
8a1e8052d4effff,17472.666666666668,139.0,3796.6666666666665,98.33333333333333
8a1e8052d4f7fff,17643.833333333332,147.16666666666666,3980.6666666666665,107.83333333333333
8a1e8052d507fff,17155.0,133.0,3696.0,98.0
8a1e8052d51ffff,16257.666666666666,118.33333333333333,3412.3333333333335,86.66666666666667
8a1e8052d527fff,16965.0,122.5,3454.5,92.5
8a1e8052d537fff,17201.0,130.66666666666666,3622.5,98.0
8a1e8052d547fff,17183.0,130.0,3621.0,95.0
8a1e8052d54ffff,15315.5,95.5,2786.5,69.5
8a1e8052d557fff,17297.285714285714,134.85714285714286,3744.285714285714,95.57142857142857
8a1e8052d577fff,17159.8,130.4,3583.6,94.2
8a1e8052d58ffff,17341.0,132.0,3680.0,95.0
8a1e8052d597fff,17617.0,144.0,3925.0,105.0
8a1e8052d59ffff,17697.5,151.0,4088.625,112.375
