h3,Accomodation_access,Primary Schools_access,Public Transports Stops_access,Municipal Sports Centers_access
8a1e8042180ffff,184.0,10.0,292.0,0.0
8a1e80421817fff,254.5,11.5,341.5,0.0
8a1e8042181ffff,196.5,10.0,293.5,0.0
8a1e80421857fff,230.5,11.0,340.5,0.0
8a1e8042185ffff,306.5,15.0,404.0,0.0
8a1e80421887fff,327.6666666666667,15.0,381.0,0.0
8a1e8042188ffff,284.29411764705884,12.941176470588236,358.5882352941176,0.0
8a1e8042189ffff,324.0,15.0,377.0,0.0
8a1e804218affff,283.0,13.0,357.0,0.0
8a1e804218d7fff,214.0,11.0,308.0,0.0
8a1e804218e7fff,201.85714285714286,9.714285714285714,301.2857142857143,0.0
8a1e804218f7fff,235.2,11.2,334.7,0.0
8a1e80421907fff,316.6,15.2,399.4,0.0
8a1e8042190ffff,188.0,10.0,298.0,0.0
8a1e80421917fff,353.625,16.25,412.375,0.0
8a1e80421937fff,255.5,12.0,363.5,0.0
8a1e80421987fff,198.5,8.5,278.5,0.0
8a1e8042198ffff,319.5,14.5,379.5,0.0
8a1e804219a7fff,405.0,16.0,430.0,0.0
8a1e804219b7fff,286.25,13.25,355.25,0.0
8a1e80421a0ffff,56.0,2.0,66.0,0.0
8a1e80421a27fff,50.0,2.0,61.0,0.0
8a1e80421a47fff,88.5,5.0,156.5,0.0
8a1e80421a57fff,41.5,2.5,67.5,0.0
8a1e80421a67fff,87.0,5.0,151.5,0.0
8a1e80421a6ffff,77.0,4.2,132.2,0.0
8a1e80421ac7fff,20.0,1.0,38.0,0.0
8a1e80421ae7fff,61.0,2.3333333333333335,79.66666666666667,0.0
8a1e80421aeffff,72.66666666666667,3.6666666666666665,115.16666666666667,0.0
8a1e80421b27fff,91.0,6.0,157.0,0.0
8a1e80421b4ffff,91.4,5.8,164.4,0.0
8a1e80421b5ffff,92.83333333333333,6.833333333333333,173.83333333333334,0.0
8a1e80421b77fff,98.0,9.0,193.0,0.0
8a1e80421c0ffff,34.0,1.0,79.0,0.0
8a1e80421c1ffff,23.0,1.0,58.0,0.0
8a1e80421c27fff,80.0,4.0,128.5,0.0
8a1e80421ca7fff,30.0,1.0,70.0,0.0
8a1e80421ccffff,11.0,0.0,35.0,0.0
8a1e80421d27fff,114.5,4.5,161.5,0.0
8a1e80421d8ffff,32.0,1.0,74.0,0.0
8a1e80421d97fff,35.0,1.5,80.0,0.0
8a1e80422807fff,17.0,0.0,79.0,0.0
8a1e8042280ffff,17.0,0.0,75.0,0.0
8a1e8042281ffff,16.0,0.0,62.0,0.0
8a1e80422827fff,18.666666666666668,0.0,85.0,0.0
8a1e8042282ffff,7.0,0.0,23.0,0.0
8a1e80422837fff,19.0,0.0,85.0,0.0
8a1e80422847fff,17.0,0.0,68.0,0.0
8a1e80422857fff,16.0,0.0,66.0,0.0
8a1e8042285ffff,15.0,0.0,59.0,0.0
8a1e8042286ffff,14.0,0.0,57.0,0.0
8a1e804228affff,16.0,0.0,59.0,0.0
8a1e804228cffff,14.0,0.0,55.0,0.0
8a1e804228e7fff,16.0,0.0,57.0,0.0
8a1e804228effff,14.0,0.0,55.0,0.0
8a1e804228f7fff,16.0,0.0,60.0,0.0
8a1e8042290ffff,20.0,0.0,97.0,0.0
8a1e80422917fff,20.0,0.0,100.0,0.0
8a1e8042291ffff,20.0,0.0,95.0,0.0
8a1e80422927fff,22.0,2.0,117.0,0.0
8a1e8042292ffff,22.0,0.0,115.5,0.0
8a1e8042294ffff,15.0,0.0,66.0,0.0
8a1e8042295ffff,14.0,0.0,61.0,0.0
8a1e80422967fff,14.0,0.0,59.0,0.0
8a1e8042296ffff,15.0,0.0,73.0,0.0
8a1e80422997fff,6.0,0.0,11.0,0.0
8a1e804229a7fff,17.0,0.0,79.0,0.0
8a1e804229affff,17.5,0.0,71.0,0.0
8a1e80422a07fff,17.0,0.0,68.5,0.0
8a1e80422b17fff,17.0,0.0,75.0,0.0
8a1e80422b27fff,17.0,0.0,80.0,0.0
8a1e80422b57fff,14.0,0.0,58.5,0.0
8a1e80422b67fff,14.0,0.0,56.0,0.0
8a1e80422b6ffff,14.0,0.0,55.0,0.0
8a1e80422b87fff,14.0,0.0,59.2,0.0
8a1e80422b8ffff,14.0,0.0,60.0,0.0
8a1e80422b97fff,14.0,0.0,59.0,0.0
8a1e80422ba7fff,14.0,0.0,61.0,0.0
8a1e80422baffff,14.666666666666666,0.0,63.333333333333336,0.0
8a1e80422bb7fff,14.0,0.0,57.5,0.0
8a1e80423817fff,4.0,1.0,20.0,0.0
8a1e80423887fff,4.0,1.0,20.0,0.0
8a1e804238b7fff,4.0,1.0,20.0,0.0
8a1e8042396ffff,0.0,0.0,0.0,0.0
8a1e80423987fff,4.0,1.0,24.0,0.0
8a1e80424017fff,76.0,12.0,345.0,6.0
8a1e8042402ffff,44.0,10.0,200.0,6.0
8a1e8042404ffff,13.0,2.0,77.0,2.0
8a1e80424077fff,6.0,0.0,20.0,0.0
8a1e804240affff,65.0,10.0,261.0,6.0
8a1e804240c7fff,11.0,5.0,122.0,5.0
8a1e804240e7fff,21.0,6.0,147.0,5.0
8a1e80424107fff,92.0,14.0,354.0,6.0
8a1e8042410ffff,42.0,10.0,198.0,6.0
8a1e80424117fff,85.0,13.0,362.0,6.0
8a1e8042411ffff,46.0,10.0,209.0,6.0
8a1e80424127fff,49.0,10.0,208.0,6.0
8a1e80424137fff,92.5,14.5,350.0,6.0
8a1e80424157fff,15.0,6.0,132.0,5.0
8a1e8042415ffff,9.0,3.0,94.0,3.0
8a1e80424187fff,105.0,15.0,465.5,6.0
8a1e804241b7fff,110.0,17.5,515.0,6.0
8a1e8042421ffff,26.0,1.0,70.0,0.0
