osmid,x,y
83656611,12.4684349,41.9053936
83656707,12.4612995,41.9064126
83656709,12.4675447,41.9068931
83656746,12.4645959,41.906135
83656747,12.4679175,41.9062519
83660660,12.462152,41.9058467
83661864,12.4732515,41.9072608
83661869,12.473333,41.9050467
83662578,12.47055,41.9065541
83662690,12.4709752,41.9087029
83662880,12.4721388,41.9058518
83662881,12.4713107,41.9059074
83662882,12.4707319,41.9057889
83663054,12.4720382,41.9051237
83663149,12.4713984,41.9066239
83663257,12.4722852,41.9076901
83664221,12.4597203,41.908191
83664226,12.4641763,41.9092696
83665112,12.4536025,41.9156265
83665376,12.4492306,41.9099803
83702987,12.4707133,41.9071728
83705374,12.4722455,41.9067057
93810142,12.4995557,41.8993172
93810149,12.4969695,41.8900054
93810150,12.5018459,41.8891074
93810152,12.5046256,41.8870807
93810154,12.5063018,41.8870216
93810163,12.5086144,41.8867148
93810167,12.5150391,41.8872264
93810168,12.5180619,41.8879387
93810173,12.5220926,41.8849954
93810175,12.5228824,41.8836908
93810178,12.5232291,41.8823591
93810181,12.5229346,41.8818538
93810182,12.5222158,41.8814116
93810183,12.5226979,41.8809541
93810184,12.5218125,41.8794863
93810199,12.567864,41.8536474
93810203,12.6082691,41.833616
93834310,12.4962519,41.9005273
93834314,12.4985698,41.9053842
93834317,12.499998,41.9042062
93834323,12.5002208,41.9031455
100872452,12.487533,41.8835897
100971777,12.4772838,41.8876371
100993394,12.4867008,41.8813088
100993404,12.4865019,41.8821764
100993415,12.4864184,41.8824227
100993418,12.485527,41.8805099
100993421,12.4847013,41.8799722
100993427,12.4851187,41.8791098
100993429,12.4850988,41.8790271
101002426,12.489056,41.8845855
101002430,12.4891936,41.8848971
101002461,12.4903769,41.8899299
101005837,12.4954411,41.8897416
101005848,12.4967729,41.8893366
101007848,12.4949366,41.8882839
101007852,12.4951178,41.8888021
101007857,12.4937147,41.8890725
101007861,12.4964896,41.8885198
101007862,12.4963225,41.8880152
101007867,12.4940146,41.8884549
101010992,12.4983846,41.889721
101011000,12.4961537,41.88751
101015318,12.4974414,41.8872789
101015319,12.4977854,41.8882628
101021575,12.4895963,41.8878328
101024488,12.5905698,41.7991067
101024499,12.5756802,41.8110551
101042174,12.493109,41.8813932
101042198,12.4950911,41.8807688
101047788,12.4929289,41.8891593
101049057,12.4952738,41.8892523
101049059,12.4966494,41.8889954
101049063,12.4995215,41.8880674
101049065,12.5023137,41.8872325
101049079,12.497963,41.8887223
101066618,12.4842435,41.877648
101066619,12.485073,41.8781428
101071427,12.4882489,41.8835447
101071439,12.4830918,41.8792377
101071442,12.481904,41.8770568
101142261,12.4897922,41.8846086
101142266,12.4901377,41.8839269
101142274,12.4904507,41.8824744
101142296,12.4898213,41.879208
101142299,12.4898937,41.8787926
101142306,12.4931481,41.8765444
101142339,12.4951014,41.8793162
101172811,12.5033048,41.8872756
101172819,12.4951396,41.8864509
101172839,12.4947507,41.8869866
101172843,12.4947632,41.8877768
101173265,12.4951668,41.8861566
101173598,12.4943104,41.8878649
101181735,12.5290824,41.9000527
101181764,12.5195579,41.8973877
101181779,12.5172249,41.899907
101181783,12.5173834,41.8999995
101181804,12.5183645,41.9019099
101196588,12.4991451,41.8881911
101196593,12.4992015,41.8881796
101196598,12.4992031,41.8879352
102413401,12.4976993,41.8872326
122543612,12.5971145,41.8569903
122543620,12.5978287,41.8570219
122543621,12.5977577,41.8571572
122543623,12.5975967,41.8572469
122544207,12.5975385,41.8567302
122546021,12.4565404,41.9000218
122546574,12.4562322,41.8990992
122546575,12.4563147,41.8995293
122546577,12.4565876,41.9002164
122547440,12.4544308,41.8994798
122547445,12.4551693,41.899544
122547452,12.4558544,41.899314
122547972,12.4554955,41.8960437
122547984,12.4548064,41.8984693
122547985,12.4542526,41.8999377
122548664,12.4574904,41.894628
122548891,12.4531492,41.8980652
122548895,12.4547029,41.8987424
122549308,12.4552422,41.8977744
122549629,12.4606599,41.9014559
122551876,12.465428,41.8956501
122551877,12.4665536,41.8964477
122552146,12.4684257,41.8959184
122552573,12.4504344,41.8948117
122552836,12.450588,41.9004592
122553291,12.4496079,41.8965176
122553294,12.4487392,41.8968819
