id_int,id,x,y,net_type
171,ROME6305_roma_tpl_272_roma_tpl,12.402007,41.874584,
172,ROME6306_roma_tpl_272_roma_tpl,12.400631,41.873787,
173,ROME6488_roma_tpl_272_roma_tpl,12.399882,41.872757,
174,ROME801_roma_tpl_272_roma_tpl,12.380891,41.872189,
175,ROME803_roma_tpl_272_roma_tpl,12.379119,41.872532,
176,ROME805_roma_tpl_272_roma_tpl,12.378113,41.869843,
177,ROME7591_roma_tpl_272_roma_tpl,12.377167,41.868786,
178,ROME8387_atac_342_atac,12.509785,41.885483,
179,ROME8386_atac_342_atac,12.518813,41.886936,
180,ROME8385_atac_342_atac,12.52862,41.888252,
181,ROME8384_atac_342_atac,12.540199,41.887222,
182,ROME8383_atac_342_atac,12.551368,41.88932,
183,ROME8382_atac_342_atac,12.56204,41.885983,
184,ROME8381_atac_342_atac,12.566553,41.881008,
185,ROME8380_atac_342_atac,12.56833,41.874462,
186,ROME8379_atac_342_atac,12.578947,41.870846,
187,ROME8378_atac_342_atac,12.586441,41.869102,
188,ROME8377_atac_342_atac,12.596861,41.866711,
189,ROME8376_atac_342_atac,12.610223,41.863956,
190,72883_roma_tpl_1256_roma_tpl,12.476043,41.825918,
191,82613_roma_tpl_1256_roma_tpl,12.479303,41.82633,
192,82275_roma_tpl_1256_roma_tpl,12.479993,41.827043,
193,80178_roma_tpl_1256_roma_tpl,12.449742,41.813578,
194,ROME350_roma_tpl_1256_roma_tpl,12.448949,41.815166,
195,ROME354_roma_tpl_1256_roma_tpl,12.446649,41.81554,
196,ROME355_roma_tpl_1256_roma_tpl,12.445236,41.817375,
197,ROME360_roma_tpl_1256_roma_tpl,12.446548,41.818291,
198,72141_roma_tpl_1256_roma_tpl,12.44405,41.821243,
199,ROME5335_roma_tpl_1256_roma_tpl,12.446588,41.823029,
200,72144_roma_tpl_1256_roma_tpl,12.448168,41.824217,
201,72142_roma_tpl_1256_roma_tpl,12.450955,41.826247,
202,72143_roma_tpl_1256_roma_tpl,12.453002,41.82784,
203,80462_roma_tpl_1256_roma_tpl,12.45462,41.826703,
204,ROME9521_roma_tpl_1256_roma_tpl,12.456178,41.825119,
205,80464_roma_tpl_1256_roma_tpl,12.459033,41.821913,
206,74332_roma_tpl_1256_roma_tpl,12.463712,41.819388,
207,74333_roma_tpl_1256_roma_tpl,12.466987,41.823172,
208,70649_roma_tpl_1256_roma_tpl,12.472703,41.826043,
209,ROME4209_roma_tpl_1817_roma_tpl,12.564299,41.852242,
210,77900_roma_tpl_1817_roma_tpl,12.568552,41.854222,
211,ROME4213_roma_tpl_1817_roma_tpl,12.570474,41.855797,
212,80476_roma_tpl_1817_roma_tpl,12.570942,41.857713,
213,80495_roma_tpl_1817_roma_tpl,12.57014,41.860083,
214,80479_roma_tpl_1817_roma_tpl,12.569547,41.861777,
215,80217_roma_tpl_1817_roma_tpl,12.568105,41.864948,
216,71838_roma_tpl_1817_roma_tpl,12.569772,41.869295,
217,75314_roma_tpl_1817_roma_tpl,12.57195,41.86904,
218,71839_roma_tpl_1817_roma_tpl,12.5739,41.868833,
219,71840_roma_tpl_1817_roma_tpl,12.576393,41.86822,
220,71843_roma_tpl_1817_roma_tpl,12.57871,41.866302,
221,71844_roma_tpl_1817_roma_tpl,12.581938,41.865032,
222,71846_roma_tpl_1817_roma_tpl,12.585092,41.86521,
223,71847_roma_tpl_1817_roma_tpl,12.590997,41.864722,
224,77383_roma_tpl_1817_roma_tpl,12.593367,41.862933,
225,82413_roma_tpl_1817_roma_tpl,12.590513,41.856917,
226,77456_roma_tpl_1817_roma_tpl,12.590717,41.856517,
227,ROME4451_roma_tpl_4193_roma_tpl,12.529966,41.869473,
228,75555_roma_tpl_4193_roma_tpl,12.52967,41.868533,
229,77863_roma_tpl_4193_roma_tpl,12.532983,41.86726,
230,77861_roma_tpl_4193_roma_tpl,12.534473,41.866105,
231,77997_roma_tpl_4193_roma_tpl,12.5335,41.865213,
232,74936_roma_tpl_4193_roma_tpl,12.533072,41.861643,
233,74937_roma_tpl_4193_roma_tpl,12.53704,41.856832,
234,ROME922_roma_tpl_4193_roma_tpl,12.540133,41.855705,
235,ROME923_roma_tpl_4193_roma_tpl,12.537819,41.857796,
236,75557_roma_tpl_4193_roma_tpl,12.540153,41.854922,
237,74939_roma_tpl_4193_roma_tpl,12.54991,41.847673,
238,74940_roma_tpl_4193_roma_tpl,12.548962,41.84529,
239,ROME4455_roma_tpl_4193_roma_tpl,12.547117,41.84491,
240,ROME4456_roma_tpl_4193_roma_tpl,12.545321,41.845005,
241,ROME4457_roma_tpl_4193_roma_tpl,12.543838,41.844036,
242,75561_roma_tpl_4193_roma_tpl,12.542,41.842313,
243,71358_roma_tpl_4193_roma_tpl,12.543478,41.841252,
244,75563_roma_tpl_4193_roma_tpl,12.544997,41.840002,
